version,direction,id,candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
claude-version,CE,010,C,9.0,7.0,3.8,38.0,0.063333,0.433333,0.360656,9.0,4.0,0.84058,61.0,1.0,61.0,2.472816566,0.895892151,0.516602641,1.365809131,-1.434110384,-1.25393994,-1.129377879,2.104887524,2.437773962,-1.688031953,2.20827834,-0.237583741,2.535665373
claude-version,CE,011,A,8.0,10.0,3.514286,34.0,0.050204,0.471429,0.555556,3.0,1.0,0.684783,72.0,2.0,36.0,2.012535022,2.552701702,0.087553203,1.02413476,-1.694695687,-0.984522522,0.533683255,0.135187105,0.180993771,-1.783308732,3.009165302,2.955746113,0.546122595
claude-version,CE,011,B,7.0,7.0,3.656716,31.0,0.054578,0.5375,0.565217,6.0,0.0,0.652174,69.0,2.0,34.5,1.552253478,0.895892151,0.301436707,0.767878982,-1.607880231,-0.517264065,0.616119549,1.120037315,-0.571266292,-1.803250582,2.790741585,2.955746113,0.426750029
claude-version,CE,011,C,9.0,9.0,3.409639,37.0,0.04108,0.5,0.541176,6.0,2.0,0.869565,85.0,2.0,42.5,2.472816566,2.000431852,-0.069592532,1.280390539,-1.875789472,-0.782466531,0.410980233,1.120037315,0.933253835,-1.670306339,3.955668076,2.955746113,1.063403718
claude-version,CE,012,A,8.0,7.0,2.965517,27.0,0.034086,0.540909,0.434783,3.0,9.0,0.617188,92.0,5.0,18.4,2.012535022,0.895892151,-0.73651923,0.426204611,-2.014606869,-0.493155393,-0.49686001,0.135187105,6.199074279,-1.824646074,4.465323415,12.535735676,-0.85451552
claude-version,CE,012,B,12.0,6.0,2.853333,23.0,0.038044,0.514634,0.320988,5.0,4.0,0.539062,81.0,6.0,13.5,3.853661197,0.343622301,-0.904983086,0.084530239,-1.93604821,-0.678973921,-1.467860738,0.791753912,2.437773962,-1.872423589,3.664436453,15.729065531,-1.244465904
claude-version,CE,012,C,14.0,6.0,3.439024,29.0,0.041939,0.479545,0.356322,6.0,4.0,0.570312,87.0,5.0,17.4,4.774224285,0.343622301,-0.025465826,0.597041796,-1.85873998,-0.927125637,-1.166359444,1.120037315,2.437773962,-1.853312828,4.101283887,12.535735676,-0.934097231
claude-version,CE,013,A,10.0,10.0,4.3125,48.0,0.044922,0.364444,0.484848,6.0,9.0,0.779661,99.0,3.0,33.0,2.93309811,2.552701702,1.286210839,2.219995059,-1.799533189,-1.741127478,-0.069660648,1.120037315,6.199074279,-1.725286625,4.974978755,6.149075968,0.307377462
claude-version,CE,013,B,8.0,10.0,3.710843,41.0,0.044709,0.455952,0.488372,0.0,6.0,0.686441,86.0,3.0,28.666667,2.012535022,2.552701702,0.382717844,1.62206491,-1.803760828,-1.093976884,-0.039590728,-0.849663104,3.942294088,-1.782294791,4.028475981,6.149075968,-0.037476593
claude-version,CE,013,C,10.0,8.0,3.837209,34.0,0.044619,0.341837,0.494382,0.0,7.0,0.711864,89.0,3.0,29.666667,2.93309811,1.448162002,0.572478448,1.02413476,-1.805547154,-1.901005669,0.011691968,-0.849663104,4.694554152,-1.766747499,4.246899698,6.149075968,0.042105118
