version,direction,id,candidate,clause_count,dependency_depth,mean_dependency_distance,max_dependency_distance,normalized_dependency_distance,nominalization_ratio,modifier_density,coordination_count,passive_or_beishi_count,sentence_compression_ratio,token_count,sentence_count,avg_sentence_length,clause_count_native_z,dependency_depth_native_z,mean_dependency_distance_native_z,max_dependency_distance_native_z,normalized_dependency_distance_native_z,nominalization_ratio_native_z,modifier_density_native_z,coordination_count_native_z,passive_or_beishi_count_native_z,sentence_compression_ratio_native_z,token_count_native_z,sentence_count_native_z,avg_sentence_length_native_z
claude-version,EC,058,C,16.0,6.0,5.068182,59.0,0.057593,0.416883,0.4,11.0,6.0,1.939394,90.0,2.0,45.0,5.28156053,1.384631187,1.159381635,4.003139155,-2.151771323,-0.734247958,0.52811961,3.534136485,6.48144843,-1.893845946,5.994709645,9.75475982,1.699093977
claude-version,EC,059,A,9.0,6.0,4.54023,50.0,0.052187,0.435811,0.426966,0.0,2.0,1.675676,89.0,2.0,44.5,2.101703675,1.384631187,0.663816452,3.083933838,-2.26788379,-0.577903365,0.786521777,-0.649803992,1.738520305,-1.964598798,5.898758673,9.75475982,1.650983173
claude-version,EC,059,B,13.0,6.0,4.129412,36.0,0.048581,0.426389,0.420455,3.0,2.0,1.648649,88.0,3.0,29.333333,3.918764735,1.384631187,0.278199771,1.654058901,-2.345335058,-0.655728743,0.724130006,0.491270684,1.738520305,-1.971849866,5.802807702,19.608052568,0.191622092
claude-version,EC,059,C,18.0,7.0,4.23,58.0,0.0423,0.393678,0.401961,4.0,3.0,1.959459,102.0,2.0,51.0,6.19009106,2.252847381,0.372617276,3.901005231,-2.480241163,-0.925920416,0.546910927,0.871628909,2.924252336,-1.888462711,7.1461213,9.75475982,2.276423623
claude-version,EC,060,A,10.0,6.0,4.980769,46.0,0.095784,0.504762,0.358491,3.0,0.0,1.533333,53.0,1.0,53.0,2.55596894,1.384631187,1.07733092,2.675398142,-1.331488077,-0.008370606,0.130358891,0.491270684,-0.632943758,-2.002787974,2.444523706,-0.098532927,2.468866838
claude-version,EC,060,B,9.0,5.0,6.76087,42.0,0.146975,0.53875,0.404255,5.0,2.0,1.444444,47.0,1.0,47.0,2.101703675,0.516414992,2.74823297,2.266862445,-0.231985063,0.272369041,0.568893222,1.251987134,1.738520305,-2.026635986,1.868817878,-0.098532927,1.891537192
claude-version,EC,060,C,9.0,7.0,6.160714,34.0,0.110013,0.508163,0.45614,7.0,2.0,1.822222,57.0,1.0,57.0,2.101703675,2.252847381,2.184893086,1.449791053,-1.025871301,0.019721531,1.066082143,2.012703584,1.738520305,-1.925282,2.828327591,-0.098532927,2.853753269
claude-version,EC,061,A,13.0,5.0,3.333333,17.0,0.046296,0.524219,0.293333,3.0,2.0,1.394366,75.0,3.0,25.0,3.918764735,0.516414992,-0.469044365,-0.286485657,-2.394413302,0.152343508,-0.494018784,0.491270684,1.738520305,-2.040071403,4.555445075,19.608052568,-0.225338176
claude-version,EC,061,B,15.0,6.0,3.469136,20.0,0.042829,0.462838,0.345238,4.0,4.0,1.56338,84.0,3.0,28.0,4.827295265,1.384631187,-0.341572097,0.019916115,-2.468879067,-0.354661325,0.003361787,0.871628909,4.109984367,-1.99472667,5.419003817,19.608052568,0.063326647
claude-version,EC,061,C,16.0,7.0,3.788732,18.0,0.053362,0.531148,0.283784,2.0,2.0,1.366197,74.0,3.0,24.666667,5.28156053,2.252847381,-0.041581472,-0.184351733,-2.242646619,0.209576797,-0.585522244,0.110912458,1.738520305,-2.047628859,4.459494104,19.608052568,-0.257412013
claude-version,EC,062,A,13.0,6.0,4.146341,32.0,0.050565,0.485385,0.406977,6.0,3.0,1.820896,86.0,4.0,21.5,3.918764735,1.384631187,0.294090274,1.245523204,-2.302721826,-0.168423923,0.594976835,1.632345359,2.924252336,-1.925637752,5.610905759,29.461345316,-0.562113802
claude-version,EC,062,B,11.0,6.0,4.266667,31.0,0.056889,0.400794,0.341772,5.0,1.0,1.641791,79.0,4.0,19.75,3.010234205,1.384631187,0.407034967,1.14338928,-2.166892147,-0.867142514,-0.029851219,1.251987134,0.552788273,-1.973689798,4.93924896,29.461345316,-0.730501616
claude-version,EC,062,C,13.0,6.0,4.037037,28.0,0.04984,0.407042,0.294118,2.0,1.0,1.910448,85.0,4.0,21.25,3.918764735,1.384631187,0.191491446,0.836987508,-2.318293697,-0.815534261,-0.486496508,0.110912458,0.552788273,-1.901611863,5.514954788,29.461345316,-0.586169204
claude-version,EC,063,A,14.0,6.0,4.709302,31.0,0.054759,0.458219,0.348315,4.0,1.0,1.716216,89.0,3.0,29.666667,4.37303,1.384631187,0.822516858,1.14338928,-2.212641233,-0.392814098,0.032847193,0.871628909,0.552788273,-1.953722329,5.898758673,19.608052568,0.223696025
claude-version,EC,063,B,13.0,6.0,3.876543,28.0,0.047859,0.485385,0.297619,6.0,0.0,1.581081,84.0,3.0,28.0,3.918764735,1.384631187,0.040842829,0.836987508,-2.360842495,-0.168423923,-0.452948114,1.632345359,-0.632943758,-1.989977672,5.419003817,19.608052568,0.063326647
